scene_id,date,year,month,day,platform,product_type,instrument_mode,polarizations,orbit,orbit_state,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,distance_days,role
S1A_IW_GRDH_1SDV_20240820T003107_20240820T003132_055289_06BD9B_5392_COG,2024-08-20 00:31:07.544085+00:00,2024,8,20,sentinel-1a,IW_GRDH_1S,IW,"['VV','VH']",,descending,78.971603,15.848854,81.623192,17.79561,80.2973975,16.822232,4.978384906423611,before
S1A_IW_GRDH_1SDV_20240901T003107_20240901T003132_055464_06C415_8969_COG,2024-09-01 00:31:07.618219+00:00,2024,9,1,sentinel-1a,IW_GRDH_1S,IW,"['VV','VH']",,descending,78.972801,15.848868,81.624512,17.795687,80.29865649999999,16.8222775,7.021615951608797,after
