role,scene_id,date,orbit_state,vv_url,vh_url
before,S1A_IW_GRDH_1SDV_20240820T003107_20240820T003132_055289_06BD9B_5392_COG,2024-08-20 00:31:07.544085+00:00,descending,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/08/20/S1A_IW_GRDH_1SDV_20240820T003107_20240820T003132_055289_06BD9B_5392_COG.SAFE/measurement/s1a-iw-grd-vv-20240820t003107-20240820t003132-055289-06bd9b-001-cog.tiff,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/08/20/S1A_IW_GRDH_1SDV_20240820T003107_20240820T003132_055289_06BD9B_5392_COG.SAFE/measurement/s1a-iw-grd-vh-20240820t003107-20240820t003132-055289-06bd9b-002-cog.tiff
after,S1A_IW_GRDH_1SDV_20240901T003107_20240901T003132_055464_06C415_8969_COG,2024-09-01 00:31:07.618219+00:00,descending,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/09/01/S1A_IW_GRDH_1SDV_20240901T003107_20240901T003132_055464_06C415_8969_COG.SAFE/measurement/s1a-iw-grd-vv-20240901t003107-20240901t003132-055464-06c415-001-cog.tiff,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/09/01/S1A_IW_GRDH_1SDV_20240901T003107_20240901T003132_055464_06C415_8969_COG.SAFE/measurement/s1a-iw-grd-vh-20240901t003107-20240901t003132-055464-06c415-002-cog.tiff
