scene_id,date,year,month,day,platform,product_type,instrument_mode,polarizations,orbit,orbit_state,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat
S1A_IW_GRDH_1SDV_20240820T003107_20240820T003132_055289_06BD9B_5392_COG,2024-08-20 00:31:07.544085+00:00,2024,8,20,sentinel-1a,IW_GRDH_1S,IW,"['VV','VH']",,descending,78.971603,15.848854,81.623192,17.79561,80.2973975,16.822232
S1A_IW_GRDH_1SDV_20240820T003107_20240820T003132_055289_06BD9B_3911_COG,2024-08-20 00:31:07.544085+00:00,2024,8,20,sentinel-1a,IW_GRDH_1S,IW,"['VV','VH']",,descending,78.971603,15.848854,81.623192,17.79561,80.2973975,16.822232
S1A_IW_GRDH_1SDV_20240901T003107_20240901T003132_055464_06C415_8969_COG,2024-09-01 00:31:07.618219+00:00,2024,9,1,sentinel-1a,IW_GRDH_1S,IW,"['VV','VH']",,descending,78.972801,15.848868,81.624512,17.795687,80.29865649999999,16.8222775
S1A_IW_GRDH_1SDV_20240908T125152_20240908T125222_055574_06C875_01BA_COG,2024-09-08 12:51:52.985645+00:00,2024,9,8,sentinel-1a,IW_GRDH_1S,IW,"['VV','VH']",,ascending,78.394943,14.252833,81.041275,16.439569,79.718109,15.346201
S1A_IW_GRDH_1SDV_20240908T125222_20240908T125255_055574_06C875_1CF0_COG,2024-09-08 12:52:22.002760+00:00,2024,9,8,sentinel-1a,IW_GRDH_1S,IW,"['VV','VH']",,ascending,77.970955,16.0079,80.702934,18.482716,79.3369445,17.245308
S1A_IW_GRDH_1SDV_20240913T003108_20240913T003133_055639_06CB01_4AD7_COG,2024-09-13 00:31:08.124807+00:00,2024,9,13,sentinel-1a,IW_GRDH_1S,IW,"['VV','VH']",,descending,78.972534,15.848926,81.624367,17.795822,80.2984505,16.822374
