scene_id,date,platform,product_type,instrument_mode,polarizations,orbit_state,bbox,center_lat,center_lon
S1A_IW_GRDH_1SDV_20180628T122346_20180628T122411_022557_027182_62E9_COG,2018-06-28 12:23:46.477284+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[82.590866, 33.4604, 85.686188, 35.369095]",34.414747500000004,84.13852700000001
S1A_IW_GRDH_1SDV_20180629T002759_20180629T002824_022564_0271BB_C100_COG,2018-06-29 00:27:59.182579+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[80.851479, 25.463572, 83.6633, 27.384235]",26.4239035,82.2573895
S1A_IW_GRDH_1SDV_20180629T003054_20180629T003119_022564_0271BB_A932_COG,2018-06-29 00:30:54.183092+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[78.804527, 14.890778, 81.429192, 16.836582]",15.86368,80.1168595
S1A_IW_GRDH_1SDV_20180629T003119_20180629T003144_022564_0271BB_600C_COG,2018-06-29 00:31:19.182515+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[78.509171, 13.379164, 81.118355, 15.328499]",14.3538315,79.813763
S1A_IW_GRDH_1SDV_20180630T010634_20180630T010659_022579_02722D_89F1_COG,2018-06-30 01:06:34.100621+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[72.286728, 34.738522, 75.404648, 36.648109]",35.6933155,73.845688
S1A_IW_GRDH_1SDV_20180630T010839_20180630T010904_022579_02722D_89DB_COG,2018-06-30 01:08:39.101107+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[70.858368, 27.196886, 73.754082, 29.119621]",28.1582535,72.306225
S1A_IW_GRDH_1SDV_20180630T010904_20180630T010929_022579_02722D_4639_COG,2018-06-30 01:09:04.101195+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[70.567299, 25.688168, 73.421951, 27.614592]",26.65138,71.99462500000001
S1A_IW_GRDH_1SDV_20180630T010929_20180630T010954_022579_02722D_2167_COG,2018-06-30 01:09:29.101304+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[70.274231, 24.179375, 73.096207, 26.10873]",25.1440525,71.685219
S1A_IW_GRDH_1SDV_20180630T120438_20180630T120503_022586_02725D_4A15_COG,2018-06-30 12:04:38.132147+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[88.791847, 23.740023, 91.61499, 25.672619]",24.706321000000003,90.2034185
S1A_IW_GRDH_1SDV_20180630T120643_20180630T120708_022586_02725D_EA15_COG,2018-06-30 12:06:43.131480+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[87.207542, 31.294067, 90.233849, 33.208721]",32.251394,88.7206955
S1A_IW_GRDH_1SDV_20180630T120708_20180630T120733_022586_02725D_BBE9_COG,2018-06-30 12:07:08.131949+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[86.864998, 32.80019, 89.937935, 34.712509]",33.7563495,88.4014665
S1A_IW_GRDH_1SDV_20180728T233552_20180728T233617_023001_027F1E_7FB4_COG,2018-07-28 23:35:52.191920+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[95.070869, 35.508961, 98.230774, 37.409092]",36.4590265,96.6508215
S1A_IW_GRDH_1SDV_20180728T233732_20180728T233757_023001_027F1E_BD93_COG,2018-07-28 23:37:32.192546+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[93.872505, 29.486666, 96.798889, 31.400709]",30.4436875,95.335697
S1A_IW_GRDH_1SDV_20180728T233757_20180728T233822_023001_027F1E_1303_COG,2018-07-28 23:37:57.191952+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[93.645844, 27.967606, 96.470085, 29.895264]",28.931435,95.0579645
S1A_IW_GRDH_1SDV_20180730T002059_20180730T002124_023016_027F96_35E8_COG,2018-07-30 00:20:59.468456+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[82.046021, 21.103828, 84.776848, 23.037807]",22.0708175,83.4114345
S1A_IW_GRDH_1SDV_20180730T124933_20180730T124958_023024_027FCE_C6AA_COG,2018-07-30 12:49:33.542747+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[79.828964, 7.499211, 82.378334, 9.4605]",8.4798555,81.10364899999999
S1A_IW_GRDH_1SDV_20180731T010318_20180731T010346_023031_028001_0173_COG,2018-07-31 01:03:18.879865+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[70.877533, 16.657444, 73.601311, 18.775892]",17.716668,72.23942199999999
S1A_IW_GRDH_1SDV_20180731T115558_20180731T115623_023038_028037_C22B_COG,2018-07-31 11:55:58.258432+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[91.210678, 22.051016, 93.994308, 23.987314]",23.019165,92.602493
S1A_IW_GRDH_1SDV_20180829T120801_20180829T120826_023461_028DC3_C785_COG,2018-08-29 12:08:01.748087+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[86.13237, 35.809753, 89.336182, 37.715122]",36.7624375,87.734276
S1A_IW_GRDH_1SDV_20180830T001212_20180830T001237_023468_028E02_28F4_COG,2018-08-30 00:12:12.425701+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[84.524849, 23.231102, 87.292, 25.157022]",24.194062,85.9084245
S1A_IW_GRDH_1SDV_20180830T124648_20180830T124713_023476_028E47_49DE_COG,2018-08-30 12:46:48.183487+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[77.755135, 27.230379, 80.640671, 29.151709]",28.191044,79.197903
S1A_IW_GRDH_1SDV_20180830T124803_20180830T124828_023476_028E47_A9EA_COG,2018-08-30 12:48:03.183362+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[76.816536, 31.760864, 79.809669, 33.675247]",32.7180555,78.3131025
S1A_IW_GRDH_1SDV_20180830T124853_20180830T124918_023476_028E47_37C2_COG,2018-08-30 12:48:53.183287+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[76.107628, 34.774555, 79.229729, 36.680294]",35.7274245,77.6686785
S1A_IW_GRDH_1SDV_20180831T005434_20180831T005459_023483_028E78_5FF4_COG,2018-08-31 00:54:34.589405+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[73.338341, 18.791256, 76.061104, 20.733772]",19.762514,74.69972250000001
S1A_IW_GRDH_1SDV_20180831T132825_20180831T132850_023491_028EB8_9D11_COG,2018-08-31 13:28:25.030909+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[67.123337, 28.9284, 70.017097, 30.850475]",29.8894375,68.57021700000001
