role,scene_id,satellite,acquisition_date,orbit_direction,polarizations,crs,width,height,resolution_x,resolution_y,west,south,east,north,bands,data_type,source,processing_api
before,S1A_IW_GRDH_1SDV_20240820T003107_20240820T003132_055289_06BD9B_5392_COG,Sentinel-1A,2024-08-20,descending,"VV,VH",EPSG:4326,512,512,0.0001953124999999889,0.00019531250000000278,80.3865,16.2567,80.48649999999999,16.3567,2,"float32,float32",Copernicus Data Space Ecosystem,CDSE Sentinel Hub Process API
after,S1A_IW_GRDH_1SDV_20240901T003107_20240901T003132_055464_06C415_8969_COG,Sentinel-1A,2024-09-01,descending,"VV,VH",EPSG:4326,512,512,0.0001953124999999889,0.00019531250000000278,80.3865,16.2567,80.48649999999999,16.3567,2,"float32,float32",Copernicus Data Space Ecosystem,CDSE Sentinel Hub Process API
